SNP,Chromosome,Position,Pvals
SNX20,16,50668019,0.537391298
SLC52A2,8,144359298,0.537396282
HOXA10,7,27171899,0.537423976
PROSER3,19,35758226,0.537449081
PHLPP2,16,71648897,0.537455837
MS4A7,11,60383143,0.537488035
TMEM150B,19,55312872,0.53766258
C1orf50,1,42767313,0.537673459
ZEB1,10,31319244,0.537794777
GPER1,7,1091733,0.537884961
TCF7L1,2,85133703,0.537935518
STK10,5,172044919,0.537985308
RSG1,1,16232058,0.538045539
CHRD,3,184380319,0.538069877
PRSS38,1,227815735,0.538170761
TRAF2,9,136898748,0.538173027
TNC,9,115021264,0.538198771
SLC4A7,3,27376766,0.53822015
R3HDM1,2,135602592,0.538228846
KLF17,1,44118935,0.538478636
FSCN1,7,5592953,0.538479295
CPT1C,19,49692263,0.538481999
CYLC2,9,103003159,0.538513401
LGALS4,19,38801769,0.538617299
RFPL3,22,32358104,0.538629317
MGST2,4,139666051,0.538722297
ANKRD26,10,27005608,0.538730519
GRHL1,2,9951849,0.538735373
SSX2IP,1,84647491,0.538761688
PDPR,16,70120506,0.53877482
CYP8B1,3,42874318,0.53886955
CEP126,11,101915297,0.538880278
SLC5A7,2,107988192,0.538889463
LAT,16,28984865,0.538967546
GAPT,5,58494541,0.539072147
ZSCAN30,18,35253488,0.539100576
NME4,16,397224,0.539114111
SYT2,1,202596779,0.539374241
HCRT,17,42184188,0.53940991
FOXD2,1,47438173,0.539558718
SPTAN1,9,128566771,0.539578072
ZFHX4,8,76704108,0.539631228
MATN4,20,45293788,0.539776612
SYVN1,11,65128390,0.539783095
CCDC85A,2,56184629,0.539922184
MAPKBP1,15,41775383,0.539982906
INSL6,9,5163939,0.540028424
FHL2,2,105361302,0.540177218
OR10G2,14,21633924,0.540275751
OR4D10,11,59477472,0.540299269
MFAP1,15,43805129,0.540351191
RMND5B,5,178138199,0.540469056
DCAF15,19,13952552,0.540523145
ADRB3,8,37964226,0.54057556
SPNS1,16,28975206,0.540586692
HYAL2,3,50318154,0.540593943
BACE1,11,117289601,0.54063321
SMAP2,1,40374216,0.540803998
CFDP1,16,75294031,0.540885239
RUFY1,5,179550570,0.540891466
FNDC4,2,27492716,0.540909729
KLHDC2,14,49768487,0.541121769
KLRF1,12,9827546,0.541141794
WDR63,1,85071977,0.541163996
ZNF845,19,53341321,0.541186356
TCTN3,10,95664117,0.541296724
NOG,17,56594236,0.541407701
NTS,12,85876640,0.541461486
BZW1,2,200812427,0.541512564
ME2,18,50895830,0.541555351
SERPINA5,14,94587403,0.541560816
LRIT2,10,84221929,0.541613862
SOCS5,2,46758547,0.541634846
WASHC3,12,102013110,0.541742713
SUGP2,19,18995172,0.54180823
BNC1,15,83257456,0.541943363
ATP2C1,3,130850840,0.541982793
DMTN,8,22067094,0.541983983
EMC1,1,19219307,0.541996282
C8orf34,8,68331020,0.542019721
OR10A7,12,55221088,0.542058862
CDX1,5,150166881,0.542095392
C9orf47,9,88991008,0.542239734
BEGAIN,14,100538013,0.542273787
PNO1,2,68157951,0.542301177
BHLHE22,8,64580812,0.542306425
NSD2,4,1900673,0.542366456
OR4N5,14,20143820,0.542369304
DHRS4,14,23953793,0.542379171
ELF3,1,202011149,0.542459621
UTP18,17,51260588,0.542461544
EPB41L2,6,130858161,0.54250837
MPP6,7,24623705,0.542664988
CCDC142,2,74474565,0.542668104
WRNIP1,6,2765638,0.542708544
BNIP1,5,173144553,0.542736592
PTOV1,19,49850914,0.542988697
CHMP4C,8,81732634,0.543021213
FUOM,10,133355399,0.543080679
ABCB6,2,219209943,0.543336424
CLK3,15,74615458,0.543376862
OR52M1,11,4545229,0.543407588
RAD51AP2,2,17510821,0.543655398
USP50,15,50500785,0.543757901
PDLIM5,4,94455337,0.543789648
CAVIN1,17,42404698,0.543841786
UBR5,8,102257670,0.543857894
LURAP1L,9,12775782,0.543865068
C17orf100,17,6651915,0.543948416
METAP2,12,95474196,0.543974577
HEMK1,3,50571129,0.544025135
AP1S3,2,223775935,0.544161836
EEF1AKMT2,10,124760495,0.544182048
SLA2,20,36613927,0.544208155
KLHL21,1,6593379,0.544337951
OR8J3,11,56136834,0.544453102
CCDC27,1,3752488,0.544476991
ZNF691,1,42849677,0.544516248
SLC16A4,1,110363793,0.544575099
C20orf144,20,33662374,0.544596912
TMEM255B,13,113766136,0.544624136
LIN28A,1,26411449,0.544663686
OR2AP1,12,55574500,0.544730231
ITGA2B,17,44372371,0.544910947
HOXB13,17,48726922,0.545049878
KIFC3,16,57758897,0.545086594
MUC12,7,100990631,0.545129172
LDHC,11,18412724,0.545214867
TSEN2,3,12489858,0.545251286
SH3GL1,19,4361607,0.545280185
PNMA1,14,73712610,0.545332169
CHST2,3,143120830,0.545531583
AKAP2,9,110048714,0.545552847
VPS37B,12,122867120,0.54559387
VWC2,7,49775464,0.546067762
SLC24A5,15,48121889,0.546127631
MAPK12,22,50253411,0.546277812
SUN3,7,47987434,0.546308364
GNB1L,22,19788717,0.546376526
STAT4,2,191031504,0.546423575
CLIC3,9,136994689,0.546442441
KRT82,12,52395015,0.546486391
ID3,1,23558965,0.546494176
KIAA1671,22,25028009,0.546537571
INCENP,11,62128293,0.54666691
MDFIC,7,114922423,0.546739542
SEC14L4,22,30490163,0.546827466
CAMKV,3,49859376,0.54685031
ATG16L1,2,233251829,0.546920041
AQP9,15,58138615,0.546951158
NDUFAF7,2,37231707,0.546967051
PSME1,14,24136275,0.546989262
KANSL3,2,96601656,0.547000927
VMO1,17,4785382,0.547002747
MRC2,17,62627809,0.547005181
ANKRD39,2,96848321,0.547022716
SHPK,17,3610562,0.547072233
USP6NL,10,11462461,0.547166286
ALDH2,12,111766989,0.547241156
FBXW7,4,152323047,0.547244361
SVOPL,7,138594621,0.547254387
ZNF135,19,58059272,0.547254959
GAMT,19,1397363,0.547297013
EFCAB8,20,32867595,0.547297195
SDR9C7,12,56923865,0.547397302
SERTAD2,2,64636055,0.547442505
TRADD,16,67154660,0.547617307
RPP30,10,90871998,0.547632222
CLDN16,3,190388148,0.547736772
FARSA,19,12922773,0.547796363
ANKRD65,1,1419115,0.547818103
TMEM8B,9,35842448,0.547865435
WDR37,10,1072228,0.547871896
SLC37A3,7,140335345,0.548087283
PAOX,10,133379425,0.548100724
ACOT11,1,54548325,0.548149169
GAPVD1,9,125299031,0.548190241
C1orf198,1,230839859,0.548254524
TSPAN32,11,2302156,0.548285935
FAAH,1,46394349,0.548460228
BRI3BP,12,124993828,0.548510348
FLRT2,14,85621533,0.548541826
SREK1IP1,5,64724403,0.548634043
PTPN2,18,12785828,0.548650989
PMPCA,9,136410688,0.54867413
IRAK3,12,66189300,0.548713735
NOS1,12,117218085,0.548717563
SPEF1,20,3778220,0.548746365
OR5I1,11,55935538,0.548798128
ATF2,2,175074646,0.548821539
GRK5,10,119207957,0.548892747
CSTF2T,10,51697724,0.548908304
IFNA1,9,21440512,0.548910673
LONRF2,2,100284308,0.548918506
DLK1,14,100727071,0.549003159
EIF4B,12,53016553,0.549029028
SNRNP40,1,31261561,0.549041316
CYP4A22,1,47137516,0.549219584
NUAK2,1,205303463,0.54941981
PREPL,2,44321392,0.549427432
R3HDM4,19,897460,0.549434624
GLP2R,17,9826106,0.549479427
SHKBP1,19,40576900,0.549534232
VSTM2B,19,29526617,0.549578442
FCGR2A,1,161505535,0.549628859
BAX,19,48954935,0.54979573
PTGER3,1,70852841,0.549796414
PSG7,19,42925775,0.55007413
LIMA1,12,50177169,0.550110496
OR10J1,1,159439769,0.550116948
NBPF14,1,148533005,0.550166306
COL13A1,10,69802457,0.550239998
NUP153,6,17616157,0.550269667
ORM1,9,114323138,0.550313304
PLEK2,14,67387354,0.550414952
FRAT2,10,97333911,0.55042475
CFAP74,1,1922639,0.550597354
NDUFS1,2,206124234,0.550616034
MRPS21,1,150308061,0.550728664
MEX3C,18,51176452,0.550741924
OR52N4,11,5754744,0.550747278
MYOZ3,5,150662967,0.550753013
ZBTB20,3,114339031,0.550815428
KRT81,12,52286265,0.550851448
SLC2A13,12,39760159,0.550940405
TMEM185B,2,120221941,0.551040753
DCTN4,5,150711187,0.55104612
SLC22A23,6,3273108,0.551212305
ACSS2,20,34876675,0.55121348
TSKU,11,76795647,0.551226845
OR6K3,1,158717220,0.55126607
C15orf59,15,73739921,0.551319846
C8orf44,8,66677711,0.551416739
CLCN6,1,11806284,0.551507071
CGB7,19,49054296,0.55150932
TOPBP1,3,133601266,0.551562747
TREX1,3,48466492,0.551574242
CAPZA3,12,18738281,0.551704476
FASLG,1,172659250,0.551720375
TAF5L,1,229594340,0.551841201
COX15,10,99713465,0.551899748
PMS1,2,189791826,0.551951632
MAFF,22,38213885,0.552001195
HECA,6,139135406,0.552101527
CYB561D2,3,50351473,0.552118833
TAF2,8,119732043,0.552207563
CYP2A13,19,41088481,0.552251982
BVES,6,105101129,0.552272744
C15orf40;FAM103A1,15,82989091,0.552339951
TRIM42,3,140678333,0.552408171
VGLL2,6,117265773,0.552445033
SSUH2,3,8619896,0.552485463
CLDN1,3,190308282,0.552663016
SLC35F2,11,107792628,0.552688072
TOP2A,17,40389531,0.552713068
TNFSF14,19,6664954,0.552791397
MGAT2,14,49621367,0.552849579
GAD1,2,170818625,0.552999355
ABRA,8,106761061,0.553046163
PGPEP1L,15,98968516,0.553090251
SLC6A4,17,30198472,0.5531303
RYK,3,134158158,0.553132211
OR6C4,12,55551242,0.553262896
CDKN2AIP,4,183444810,0.553288072
VOPP1,7,55472772,0.553342908
HNMT,2,137964505,0.553357098
FTSJ3,17,63819847,0.553439078
PADI1,1,17205221,0.55345082
IQCF6,3,51778629,0.553512037
SYT1,12,79285807,0.55353755
QRFPR,4,121329394,0.553596936
KLK10,19,51014813,0.553628652
PI4KB,1,151292956,0.553629987
SNTA1,20,33408541,0.55364062
POLR3C,1,145824540,0.553653114
OR13C3,9,104535789,0.553691575
PCDHGC3,5,141476165,0.553727854
FBXO30,6,145800189,0.553750178
IL17RA,22,17085111,0.553784586
GNS,12,64716782,0.553941121
CRBN,3,3151014,0.553960503
BTN2A2,6,26383832,0.554011579
MUTYH,1,45329334,0.55405163
PEX11G,19,7477228,0.554063008
GALK2,15,49170327,0.554181608
YTHDC2,5,113513906,0.554188338
TTC6,14,37606732,0.554288129
TYMS,18,657752,0.554300905
OGFR,20,62804907,0.554347771
FKBP6,7,73328445,0.554467608
MARS,12,57488092,0.554660257
TONSL,8,144429228,0.554696718
OR13J1,9,35869476,0.554700227
LY6K,8,142700532,0.554730228
TXLNB,6,139242537,0.55478516
DNAJC4,11,64230859,0.554804816
CIPC,14,77105739,0.554812314
USP30,12,109052688,0.555023273
PTPN1,20,50510528,0.555062166
EIF4G1,3,184315822,0.555110905
LAMA2,6,128883250,0.555137667
HPS1,10,98417580,0.555227201
FMO3,1,171103786,0.555649121
FSIP1,15,39617752,0.555667194
THRAP3,1,36282607,0.555758022
BTN3A1,6,26405614,0.555791408
HEPACAM2,7,93189238,0.555881402
TPST2,22,26532729,0.555944787
CUL2,10,35010339,0.555958484
MRPL46,15,88459639,0.55601358
ZNF649,19,51890679,0.556046829
ZNF564,19,12526473,0.556078814
SNAP47,1,227735413,0.556087009
SHISA6,17,11241440,0.556122489
USP38,4,143185463,0.556130944
OR4S1,11,48306223,0.556150062
TMEM132C,12,128267416,0.556175862
ZNF512,2,27583682,0.556227074
TSGA10IP,11,65945699,0.556233061
SNCG,10,86958773,0.556239731
TEPP,16,57976518,0.556265885
HSPB11,1,53921722,0.556419421
PAWR,12,79594364,0.556428021
ALMS1,2,73385924,0.55643329
RELL1,4,37631405,0.556454012
KIAA0895,7,36326771,0.556459535
SLC19A3,2,227687425,0.556492403
CMTM7,3,32391931,0.556546417
FASTKD2,2,206766722,0.556594611
SLC5A4,22,32218528,0.55662152
HBM,16,166076,0.556708739
LYSMD3,5,90518951,0.556943626
OR51L1,11,4999006,0.556956518
FZD4,11,86951146,0.55697051
SMG6,17,2061565,0.557043181
IL36B,2,113022696,0.557070902
CCNK,14,99492735,0.557141671
TRIM52,5,181256850,0.557196498
ZDHHC7,16,84976372,0.557364132
MTCH1,6,36968937,0.557458923
FCN1,9,134909808,0.557602323
MPP2,17,43877845,0.557630129
TNKS,8,9555968,0.557639057
WTAP,6,159739015,0.557745727
LCLAT1,2,30459617,0.557760427
PRSS12,4,118281979,0.557801929
INMT,7,30752153,0.557870846
CFHR5,1,196977680,0.557889959
MKRN1,7,140454531,0.55792123
TTC21A,3,39107862,0.557924302
CAPS2,12,75278909,0.557940196
ALPK3,15,84816907,0.557964634
HS3ST2,16,22814614,0.558084757
GAS2L2,17,35744877,0.55810829
ANKRD24,19,4199686,0.558136416
CD1E,1,158353989,0.558302238
NR1I3,1,161229701,0.558340358
TRIM64,11,89968654,0.558362779
DNAJC11,1,6635689,0.558454129
OARD1,6,41067343,0.558463432
ZFYVE19,15,40807291,0.558464618
ST14,11,130159999,0.558503932
DLD,7,107891263,0.558521238
OR8G5,11,124264854,0.558526999
MYBL1,8,66564705,0.558537914
DOLK,9,128945736,0.558562361
CREB3L1,11,46278113,0.558588672
CBY3,5,179678585,0.558597466
TAL1,1,47219791,0.558631462
SMC2,9,104095533,0.558661363
TACR1,2,75049491,0.559003553
FOXJ3,1,42179768,0.559090005
CCDC33,15,74244015,0.559090802
SDF4,1,1217534,0.559132812
ANGPT1,8,107251865,0.55916728
NT5C1B-RDH14;RDH14,2,18555211,0.559233351
CERK,22,46689995,0.559310724
USP14,18,163353,0.559321958
TMEM240,1,1535370,0.559380605
SPON1,11,13962945,0.559387091
IPO9,1,201829250,0.559390724
PAX2,10,100746203,0.559494081
EXOC3L4,14,103100242,0.559527642
ALG1L,3,125929381,0.559549977
RNASEH1,2,3545795,0.559702606
GPR37,7,124746532,0.559810191
DGKA,12,55935929,0.559894324
VN1R5,1,247256110,0.559946404
PPP1R32,11,61481862,0.560101542
CPT1A,11,68757657,0.560181479
HS6ST1,2,128268180,0.560261858
TFPI2,7,93886828,0.560275366
FN3K,17,82735644,0.560355936
ZNF580,19,55642524,0.56042127
LRRC8A,9,128907216,0.560457314
P2RX5,17,3679624,0.560470668
WDR18,19,984407,0.560551945
BACH1,21,29321291,0.560552496
IL37,2,112913015,0.560628668
TTC22,1,54781284,0.560640105
LY75,2,159805074,0.560674049
RAF1,3,12584531,0.560678688
SH3BGRL2,6,79673623,0.560685362
ZNF469,16,88427484,0.560790162
JMJD1C,10,63168042,0.560794746
EFCAB7,1,63525577,0.560806629
GNAI3,1,109548749,0.560880602
INSR,19,7117133,0.560907258
AP1G1,16,71733108,0.560963891
COL1A1,17,50185525,0.561059227
MCIDAS,5,55220371,0.56106865
SEMA4F,2,74654387,0.56107071
CCDC114,19,48296983,0.561200071
POU1F1,3,87259946,0.561204573
FOLR1,11,72192174,0.561208203
ONECUT3,19,1753673,0.561265868
PTCHD4,6,47878362,0.561300894
SETDB2;SETDB2-PHF11,13,49467909,0.561317524
PEX19,1,160279572,0.561340982
BAG1,9,33255224,0.561354606
TBCEL,11,121045704,0.561410011
ARHGEF33,2,38919451,0.561521286
GOLGA8B,15,34527638,0.561630392
SCN8A,12,51662825,0.561658738
PDCD6,5,271721,0.561724375
PLEKHG7,12,92740943,0.561753824
RPN2,20,37184219,0.561801588
PDGFRB,5,150115797,0.56193902
USP47,11,11873814,0.562083955
EIF2AK2,2,37107340,0.562192714
SNX16,8,81801592,0.562209438
MLNR,13,49220340,0.562267725
NDUFV3,21,42893341,0.562279368
HSPE1;HSPE1-MOB4,2,197501176,0.562323348
MCOLN3,1,85019165,0.562403149
EN1,2,118842949,0.562423928
GPR148,2,130729196,0.562439443
HAUS2,15,42548891,0.562477071
ZFPM1,16,88453654,0.562477248
GLI4,8,143269401,0.562539866
IL12A,3,159989066,0.562659246
SLC2A5,1,9037635,0.562767453
TTC25,17,41930725,0.562830405
DPYSL4,10,132187091,0.562916899
CDH8,16,61653646,0.562921102
ACTR10,14,58200249,0.563069179
KCTD16,5,144206740,0.563143222
YIPF1,1,53866225,0.563156755
SEC23A,14,39033253,0.563166564
CD46,1,207752225,0.563170087
ARMC6,19,19034237,0.563202402
IFT52,20,43594746,0.563212811
GJB7,6,87284261,0.563221232
ATG16L2,11,72816815,0.56325739
CYP19A1,15,51210894,0.563284296
SLC6A7,5,150190335,0.563322109
TNFSF11,13,42574320,0.563448028
AEBP2,12,19439700,0.563500384
SLC7A14,3,170467089,0.563593914
TCP11L2,12,106311098,0.563661923
TMOD3,15,51862886,0.563673283
CPLX2,5,175878959,0.563717239
ZNF652,17,49298470,0.563730181
ICAM5,19,10290075,0.563735745
AGTRAP,1,11736219,0.563776437
EPS8L3,1,109750688,0.563832666
IL15,4,141719466,0.563881476
PTH1R,3,46883584,0.563892662
GSTK1,7,143263514,0.56394012
LATS2,13,20974900,0.5640331
ALG11,13,52012441,0.564305765
S100A6,1,153534700,0.564317543
SPATS2,12,49461026,0.564449288
ZC3H8,2,112230929,0.564594943
LRRC70,5,62579578,0.564655102
SLC2A3,12,7921418,0.564662873
BIVM-ERCC5;ERCC5,13,102852124,0.564692974
CWF19L1,10,100233286,0.564710455
SLC4A4,4,71255240,0.564731393
NMRK2,19,3933697,0.564758465
SEH1L,18,12948172,0.564820816
P3H2,3,189957995,0.564860275
TBX19,1,168281151,0.56488513
PARD6G,18,80159782,0.564930616
PRPF40A,2,152656337,0.56503496
MMP17,12,131828502,0.565043284
CSF1,1,109911033,0.565103309
POM121C,7,75418807,0.5651949
DRD2,11,113410767,0.565257407
CLEC4D,12,8515247,0.565263387
BLVRB,19,40447916,0.565511694
SLC22A2,6,160217445,0.565616512
OR9G1;OR9G9,11,56700390,0.565627279
DLG1,3,197044666,0.565653201
PPP1R35,7,100435364,0.565890526
ARCN1,11,118581288,0.565904715
PPARGC1B,5,149730401,0.566178382
AGA,4,177431749,0.566185042
TGOLN2,2,85322667,0.566241781
KCNQ2,20,63406703,0.56626797
CCNA1,13,36432701,0.566370827
NBPF26,1,120814851,0.566376523
PCYT1A,3,196238732,0.566402256
DPRX,19,53632131,0.566501505
NKX2-6,8,23702462,0.566668315
CD74,5,150402568,0.566668865
TCF4,18,55228289,0.56675504
EFCAB2,1,244970434,0.566866184
PKP1,1,201283761,0.566877364
RPE,2,210002705,0.56692121
YAP1,11,102110888,0.566957506
ADGRV1,5,90558912,0.567034858
DHX58,17,42101835,0.567324251
ATP8B4,15,49860252,0.567399526
MED13L,12,115966237,0.567459791
SLC22A7,6,43298411,0.567493906
FUT1,19,48750221,0.567535036
CFAP100,3,126396047,0.56754208
ERICH3,1,74571128,0.56761183
U2AF1L4,19,35742606,0.567695091
C1QTNF9B,13,23891359,0.56769596
BAP1,3,52402328,0.567794013
LEFTY2,1,225937469,0.567828658
STPG1,1,24360864,0.568241882
ACP6,1,147647470,0.568302026
LPL,8,19939460,0.568344468
BCAM,19,44809192,0.56839214
NFAM1,22,42385170,0.568537737
ZNF582,19,56383893,0.568560272
ANKRD1,10,90912873,0.568582088
FAIM2,12,49870550,0.568744385
PRPF4B,6,4021426,0.568748672
SH3BP5L,1,248811905,0.568757508
PITX3,10,102230561,0.568780339
CHKA,11,68061994,0.568913884
EIF5,14,103335862,0.568938557
RTKN,2,74426251,0.568950654
ZNF227,19,44217826,0.569014815
OR4E2,14,21665119,0.569039636
CMC1,3,28241798,0.569048103
IFIH1,2,162267310,0.569085898
UBE2Q2L,15,84172514,0.569156444
RNF145,5,159158684,0.569210707
CLEC10A,17,7075092,0.569211924
PIPOX,17,29043226,0.569232641
KBTBD6,13,41130581,0.569298541
MTX3,5,79983721,0.569313604
SNX10,7,26346450,0.569391929
STX6,1,180976643,0.569455478
TUBG2,17,42659914,0.56947194
A2ML1,12,8822677,0.569484106
NIPSNAP1,22,29555947,0.569544148
XPNPEP1,10,109865171,0.569602002
IHH,2,219055242,0.569652953
ADSL,22,40346574,0.569700669
C11orf97,11,94512532,0.569772999
BCKDHA,19,41397849,0.56978638
SPATA7,14,88385821,0.569787104
GMPS,3,155893542,0.569811097
DLX4,17,49969486,0.569816609
ACSM1,16,20623524,0.569831701
HAPLN3,15,88877981,0.569902999
CSNK1G1,15,64171939,0.569990454
C1orf112,1,169795140,0.569996962
OR2A5,7,144050406,0.570012041
ZFP69B,1,40450996,0.57001392
EOGT,3,68977627,0.570042061
KIF17,1,20664624,0.57018584
CPOX,3,98580687,0.570187824
GPR153,1,6249396,0.570195188
ORC2,2,200911309,0.570196086
EIF5AL1,10,79512665,0.570211992
COG5,7,107203527,0.570265088
FGFR3,4,1794016,0.570275858
ACSL6,5,131954293,0.570309199
NOA1,4,56963455,0.570537091
ELOA3B;ELOA3D,18,46962807,0.570581811
RGS16,1,182600342,0.570734503
DCAF17,2,171434595,0.570774267
IPO8,12,30630886,0.570843536
CACNB3,12,48815712,0.570930232
SUMO4,6,149400393,0.570968647
DNAJC1,10,21756725,0.570972393
OR52E2,11,5058660,0.571022032
BTNL8,5,180908624,0.571197398
GSTM4,1,109656391,0.57120502
CIART,1,150283268,0.571246945
MPZL2,11,118260054,0.571291225
CYB5D2,17,4143768,0.571390057
SPDYE3,7,100307902,0.571398502
RACGAP1,12,49990272,0.571411505
FCGR2C,1,161589588,0.57143936
RABL2A,2,113628619,0.571477913
ATP10A,15,25679405,0.571493272
ABHD13,13,108229219,0.57149377
CD72,9,35610658,0.571498665
HNRNPA0,5,137753205,0.571555468
FAH,15,80153067,0.571569599
SLAMF8,1,159826899,0.571589716
ZNF341,20,33732038,0.571630842
TLR6,4,38827099,0.571960487
INTS9,8,28768156,0.571990849
SI,3,164979424,0.572057911
SPR,2,72887448,0.572163553
CCDC141,2,178834173,0.572190822
AMH,19,2249336,0.572308357
NT5C3A,7,33014775,0.572347414
GTPBP8,3,112991025,0.572374887
ADGB,6,146599043,0.572408897
ERO1B,1,236218524,0.572412347
ASTN2,9,116425604,0.572413877
UTP6,17,31863375,0.57243287
PIF1,15,64815783,0.572453817
CCDC91,12,28305661,0.572591704
GPAM,10,112155887,0.572635832
TMEM97,17,28319240,0.57271409
TOR1AIP1,1,179882504,0.572822581
SYT9,11,7252196,0.572840657
CLDN12,7,90412731,0.572920116
MFSD5,12,53251736,0.572948133
KRTAP10-5,21,44579770,0.572998973
RNF25,2,218663992,0.573030795
CCDC137,17,81666771,0.573270361
LOC100130520,17,74563921,0.573317042
FAM135A,6,70428361,0.573416432
C8orf86,8,38512403,0.573470303
MKX,10,27675243,0.573470471
CCDC90B,11,83261918,0.573515903
GART,21,33517013,0.573655421
APOA1,11,116835821,0.573663395
OR4K5,14,19920638,0.573665817
PLD6,17,17202792,0.573888821
KCNS2,8,98427998,0.57389311
ITPRIPL1,2,96325847,0.57398434
WNT9A,1,227921523,0.574030516
OR6C68,12,55492411,0.574094311
BYSL,6,41921591,0.574148152
TOB1,17,50863080,0.574276927
ZBTB11,3,101651171,0.574333811
YDJC,22,21628419,0.574405929
9-Mar,12,57755548,0.574423734
AIMP1,4,106316548,0.574429315
SPAG5,17,28577723,0.574465123
CNP,17,41968110,0.574477712
BCL6B,17,7023778,0.574514616
CHADL,22,41229705,0.574534648
FOXR1,11,118971935,0.574701687
MROH2B,5,40998059,0.57473066
TRAM1,8,70574957,0.574762095
TRIM8,10,102644640,0.574777105
MPP4,2,201645249,0.574814068
CHMP1A,16,89645921,0.574879234
ELOVL5,6,53269138,0.574972185
RFX1,19,13962777,0.575020786
FOSL2,2,28393721,0.575029689
PLA2G12A,4,109714398,0.57507384
IFIT2,10,89305982,0.575114936
GTF2E2,8,30578979,0.575140057
CLEC2A,12,9913642,0.575188904
PAFAH2,1,25962007,0.575234823
EEF1G,11,62559761,0.575461574
RIC8B,12,106774746,0.575493289
CHD1L,1,147242705,0.575498415
CLEC16A,16,10944763,0.575576483
DAB1,1,57010741,0.575620022
PDE7A,8,65719310,0.575746241
FAM19A4,3,68733146,0.575793867
TRIM9,14,50977346,0.575860526
DEGS1,1,224183363,0.575884537
F2RL1,5,76819191,0.575970027
SLC15A1,13,98684744,0.576029839
LIG4,13,108208634,0.576052832
AKR1C3,10,5048837,0.576087955
SAMD7,3,169919502,0.576097167
SUCNR1,3,151879904,0.576113378
MUL1,1,20500764,0.576158366
PAIP1,5,43527387,0.576168515
MFSD14A,1,100049948,0.576205652
KIF18A,11,28021201,0.576270328
C11orf70,11,102047486,0.576344032
ORAI1,12,121626743,0.576381851
RAI14,5,34686935,0.576498961
SIPA1,11,65640959,0.576628628
CNPY3-GNMT;GNMT,6,42962303,0.576655435
IVNS1ABP,1,185298055,0.576687142
PTGR2,14,73858884,0.576745163
MMP24,20,35226747,0.576852087
DCTN2,12,57530703,0.576877933
MRGPRX3,11,18137209,0.576938178
TACR2,10,69404839,0.576947853
FAM180B,11,47586776,0.57701921
CNTN3,3,74264433,0.577074682
C2orf40,2,106071886,0.57709986
RBM42,19,35629580,0.577121245
PSMD9,12,121888891,0.577145396
OR2B2,6,27911247,0.57715777
CCDC93,2,117920354,0.57721605
LDLRAP1,1,25543736,0.57724543
SPATA6L,9,4604220,0.57725392
TRIM41,5,181224013,0.577280164
C21orf2,21,44330206,0.577280419
IST1,16,71894844,0.577317662
ICA1L,2,202779550,0.577346112
TFAP2B,6,50818949,0.577347801
KCNA10,1,110517286,0.577357858
SDHC,1,161314413,0.577373341
INTS14,15,65579415,0.577432695
NLN,5,65758614,0.577534391
PPIL4,6,149505551,0.57765394
CIB2,15,78105755,0.577732803
GLI1,12,57463702,0.577794154
C19orf66,19,10086435,0.577796142
FOXJ2,12,8039903,0.577811543
FUCA1,1,23845837,0.577923928
RNASEK,17,7012585,0.577924576
TRIM24,7,138460592,0.577948556
MFSD2A,1,39955305,0.577960289
TYROBP,19,35904603,0.57797187
PDGFD,11,103909732,0.577994275
FLYWCH1,16,2929700,0.578078324
SETD3,14,99398768,0.578087694
NAB1,2,190659258,0.578095514
IGFBP7,4,57032426,0.578139894
HOXA2,7,27100770,0.578206534
HSD11B2,16,67431280,0.578270355
DNAJB5,9,34989672,0.578304616
PCDHB14,5,141223533,0.578349661
SCGB2B2,19,34593562,0.578448196
C4orf17,4,99513091,0.578617293
WDHD1,14,54941534,0.578653881
VEZF1,17,57974543,0.578657274
DFNA5,7,24699055,0.578726517
IFNGR2,21,33403562,0.57874544
PTGS1,9,122371212,0.578749692
ACKR1,1,159205555,0.578780034
TEP1,14,20368465,0.578812235
ZP3,7,76424968,0.57883495
HSD3B2,1,119415474,0.578984491
ATP13A3,3,194405945,0.579066796
ARIH2OS,3,48918362,0.579132443
ELP2,18,36129934,0.579255598
GRK1,13,113667408,0.579314525
RPF1,1,84479292,0.579329888
CC2D1A,19,13906455,0.579438593
CELA3B,1,21977041,0.579453998
EFHD1,2,232606163,0.579525143
OR52B2,11,6169360,0.579582535
C17orf82,17,61412020,0.579588439
LKAAEAR1,20,64083424,0.579684357
PCDHGB7,5,141417872,0.579741499
UCHL1,4,41257627,0.579782751
ZNF616,19,52114852,0.579810673
TUBA8,22,18121488,0.579829829
INTS5,11,62647092,0.579832542
STAC3,12,57243814,0.579923295
FAM217B,20,59943944,0.57998024
CTH,1,70411430,0.580076261
PRSS56,2,232520611,0.580121324
WDR4,21,42850050,0.580187296
NXPE3,3,101785607,0.580210022
GLT1D1,12,128853621,0.580221401
ZNF579,19,55577965,0.580222483
CSF3,17,40015471,0.580229878
APOH,17,66212150,0.580269568
EIF2B4,2,27364467,0.580329659
NPR1,1,153679113,0.580393717
KCNK7,11,65593009,0.580413583
TMEM242,6,157292938,0.580461761
CCNG1,5,163439279,0.580534759
SLITRK1,13,83879553,0.580670024
KANK4,1,62238291,0.58068161
ETV3,1,157125026,0.580710283
CTRB1,16,75219017,0.580711311
SMARCD2,17,63832945,0.580719804
FZD3,8,28503024,0.580758889
